"ПН","10:00-11:20","1-223","Мови програмування","","Ковальський І.","2-15"
"ПН","11:40-13:00","8-6","","","Денисенко І.","2-14"
"ПН","11:40-13:00","8-13","","","Яник О.","2-14"
"ВТ","11:40-13:00","1-306","Мови програмування","1","Бучко О.","2-15"
"ВТ","11:40-13:00","1-307","Мови програмування","3","Вовк Н.","2-15"
"ВТ","13:30-14:50","1-306","Мови програмування","2","Бучко О.","2-15"
"ВТ","13:30-14:50","1-307","Мови програмування","3","Вовк Н.","4"
"ВТ","15:00-16:20","1-313","","","Бучко О.","4"
"СР","10:00-11:20","1-223","Архітектура обчислювальних систем","","Франчук О.","2"
"СР","11:40-13:00","1-223","Архітектура обчислювальних систем","","Франчук О.","1-14"
"СР","13:30-14:50","1-206","Архітектура обчислювальних систем","1","Тригуб О.","1-14"
"СР","13:30-14:50","1-208","Архітектура обчислювальних систем","3","Франчук О.","1-14"
"СР","15:00-16:20","1-206","Архітектура обчислювальних систем","2","Тригуб О.","1-14"
"ЧТ","11:40-13:00","1-225","Математичний аналіз","","Захарійченко Ю.","1-15"
"ЧТ","13:30-14:50","1-225","Математичний аналіз","1","Захарійченко Ю.","1-15"
"ПТ","08:30-09:50","1-313","","","Ковальський І.","6"
"ПТ","11:40-13:00","8-6","","","Денисенко І.","2-14"
"ПТ","11:40-13:00","8-13","","","Яник О.","2-14"
"ПТ","13:30-14:50","1-306","Мови програмування","1","Бучко О.","1-15"
"ПТ","13:30-14:50","1-307","Мови програмування","3","Вовк Н.","1-15"
"ПТ","15:00-16:20","1-306","Мови програмування","2","Бучко О.","1-15"
