"ПН","10:00-11:20","1-310","Агентні технології","","Гороховський С.","2-15"
"ПН","11:40-13:00","1-310","Агентні технології","1","Гороховський С.","2-15"
"ПН","13:30-14:50","1-310","Агентні технології","","Гороховський С.","4"
"ПН","13:30-14:50","1-310","Агентні технології","1","Гороховський С.","5"
"ВТ","08:30-09:50","1-310","Методика викладання інформатики у вищій школі","","Ковальський І.","1-7"
"ВТ","08:30-09:50","1-310","Методика викладання інформатики у вищій школі","1","Ковальський І.","9-14"
"ВТ","10:00-11:20","1-310","Методика викладання інформатики у вищій школі","1","Ковальський І.","1-7"
"СР","08:30-09:50","2-204","Компонентно-орієнтоване програмування","","Сініцина Р.","1-14"
"СР","10:00-11:20","2-204","Компонентно-орієнтоване програмування","1","Сініцина Р.","1-14"
"СР","11:40-13:00","2-204","Компонентно-орієнтоване програмування","","Сініцина Р.","1"
"ЧТ","08:30-09:50","1-306","Платформи корпоративних інформаційних систем","","Гломозда Д.","1-11"
"ЧТ","10:00-11:20","1-306","Платформи корпоративних інформаційних систем","1","Гломозда Д.","1-12"
"ЧТ","15:00-16:20","1-225","Філософія ( поглиблений курс)","","Лютий Т.","1-15"
"ПТ","08:30-09:50","1-331","Теоретичні та практичні аспекти онтології","","Глибовець А.","1-15"
"ПТ","10:00-11:20","1-331","Теоретичні та практичні аспекти онтології","1","Дубровський В.","1-15"
